transcript_id,user_transcript,age,gender,annual_income,occupation,state,caste_category,is_differently_abled
T0041,"Main Karnataka se ek rehri wala hu, meri umar 20 saal hai aur saalana kamai 120000 rupe hai.",20,,120000.0,rehri wala,Karnataka,,FALSE
T0042,"Hi, I am 62 years old student from Bihar. My family income is 200000 and I am differently abled.",62,,200000.0,chhatra,Bihar,,TRUE
T0043,"Main Rajasthan se ek street vendor hu, meri umar 39 saal hai aur saalana kamai 200000 rupe hai.",39,,200000.0,street vendor,Rajasthan,,FALSE
T0044,"Mera naam Ramesh hai, main Karnataka ka rehne wala hu. Main ST category se ek purush hu aur street vendor hu. Aamdani 350000 per year hai.",48,Male,350000.0,street vendor,Karnataka,ST,FALSE
T0045,"Main Karnataka se ek student hu, meri umar 54 saal hai aur saalana kamai 80000 rupe hai.",54,,80000.0,student,Karnataka,,FALSE
T0046,I am a 57 year old female weaver living in West Bengal. My annual household income is 200000 rupees.,57,Female,200000.0,weaver,West Bengal,,FALSE
T0047,"Mera naam Ramesh hai, main Bihar ka rehne wala hu. Main General category se ek mahila hu aur bunkar hu. Aamdani 80000 per year hai.",31,Female,80000.0,bunkar,Bihar,General,FALSE
T0048,"Hi, I am 53 years old student from West Bengal. My family income is 350000 and I am differently abled.",53,,350000.0,daily wage worker,West Bengal,,TRUE
T0049,"Main Rajasthan se ek rehri wala hu, meri umar 51 saal hai aur saalana kamai 200000 rupe hai.",51,,200000.0,rehri wala,Rajasthan,,FALSE
T0050,"Hi, I am 51 years old student from Tamil Nadu. My family income is 120000 and I am differently abled.",51,,120000.0,weaver,Tamil Nadu,,TRUE
T0051,"Namaste, main 34 varsh ka mazdoor hu Madhya Pradesh se. Meri income 350000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",34,,350000.0,mazdoor,Madhya Pradesh,SC,TRUE
T0052,"Namaste, main 27 varsh ka student hu Madhya Pradesh se. Meri income 350000 rupaye hai, aur main General varg se hoon. Main divyang hu.",27,,350000.0,student,Madhya Pradesh,General,TRUE
T0053,"Main Rajasthan se ek farmer hu, meri umar 23 saal hai aur saalana kamai 0 rupe hai.",23,,0.0,farmer,Rajasthan,,FALSE
T0054,I am a 46 year old male chhatra living in West Bengal. My annual household income is 600000 rupees.,46,Male,600000.0,chhatra,West Bengal,,FALSE
T0055,I am a 19 year old male bunkar living in West Bengal. My annual household income is 600000 rupees.,19,Male,600000.0,bunkar,West Bengal,,FALSE
T0056,"Mera naam Ramesh hai, main Karnataka ka rehne wala hu. Main General category se ek mahila hu aur daily wage worker hu. Aamdani 200000 per year hai.",62,Female,200000.0,daily wage worker,Karnataka,General,FALSE
T0057,"I belong to OBC category from Karnataka. Age is 41, profession is bunkar, income around 45000.",41,,45000.0,bunkar,Karnataka,OBC,FALSE
T0058,"Main Karnataka se ek rehri wala hu, meri umar 53 saal hai aur saalana kamai 350000 rupe hai.",53,,350000.0,rehri wala,Karnataka,,FALSE
T0059,"Mera naam Ramesh hai, main West Bengal ka rehne wala hu. Main General category se ek mahila hu aur rehri wala hu. Aamdani 600000 per year hai.",36,Female,600000.0,rehri wala,West Bengal,General,FALSE
T0060,"I belong to SC category from Bihar. Age is 45, profession is student, income around 600000.",45,,600000.0,student,Bihar,SC,FALSE
T0061,I am a 30 year old male labour living in Tamil Nadu. My annual household income is 600000 rupees.,30,Male,600000.0,labour,Tamil Nadu,,FALSE
T0062,I am a 51 year old male student living in West Bengal. My annual household income is 45000 rupees.,51,Male,45000.0,student,West Bengal,,FALSE
T0063,"Mera naam Ramesh hai, main Rajasthan ka rehne wala hu. Main OBC category se ek purush hu aur labour hu. Aamdani 350000 per year hai.",30,Male,350000.0,labour,Rajasthan,OBC,FALSE
T0064,"Hi, I am 22 years old student from Madhya Pradesh. My family income is 120000 and I am differently abled.",22,,120000.0,farmer,Madhya Pradesh,,TRUE
T0065,"Namaste, main 33 varsh ka unemployed hu Tamil Nadu se. Meri income 600000 rupaye hai, aur main OBC varg se hoon. Main divyang hu.",33,,600000.0,unemployed,Tamil Nadu,OBC,TRUE
T0066,I am a 44 year old female farmer living in Madhya Pradesh. My annual household income is 0 rupees.,44,Female,0.0,farmer,Madhya Pradesh,,FALSE
T0067,"I belong to ST category from Karnataka. Age is 25, profession is mazdoor, income around 200000.",25,,200000.0,mazdoor,Karnataka,ST,FALSE
T0068,I am a 55 year old female berojgar living in Tamil Nadu. My annual household income is 0 rupees.,55,Female,0.0,berojgar,Tamil Nadu,,FALSE
T0069,"Main Karnataka se ek bunkar hu, meri umar 42 saal hai aur saalana kamai 0 rupe hai.",42,,0.0,bunkar,Karnataka,,FALSE
T0070,I am a 58 year old female artisan living in Madhya Pradesh. My annual household income is 45000 rupees.,58,Female,45000.0,artisan,Madhya Pradesh,,FALSE
T0071,I am a 24 year old male kisan living in Rajasthan. My annual household income is 80000 rupees.,24,Male,80000.0,kisan,Rajasthan,,FALSE
T0072,"Main Bihar se ek kisan hu, meri umar 20 saal hai aur saalana kamai 350000 rupe hai.",20,,350000.0,kisan,Bihar,,FALSE
T0073,"Mera naam Ramesh hai, main Uttar Pradesh ka rehne wala hu. Main General category se ek purush hu aur student hu. Aamdani 120000 per year hai.",43,Male,120000.0,student,Uttar Pradesh,General,FALSE
T0074,"Namaste, main 59 varsh ka rehri wala hu Rajasthan se. Meri income 80000 rupaye hai, aur main General varg se hoon. Main divyang hu.",59,,80000.0,rehri wala,Rajasthan,General,TRUE
T0075,"Mera naam Ramesh hai, main Madhya Pradesh ka rehne wala hu. Main General category se ek mahila hu aur mazdoor hu. Aamdani 120000 per year hai.",39,Female,120000.0,mazdoor,Madhya Pradesh,General,FALSE
T0076,"Main Tamil Nadu se ek student hu, meri umar 19 saal hai aur saalana kamai 600000 rupe hai.",19,,600000.0,student,Tamil Nadu,,FALSE
T0077,"I belong to OBC category from Uttar Pradesh. Age is 25, profession is bunkar, income around 120000.",25,,120000.0,bunkar,Uttar Pradesh,OBC,FALSE
T0078,I am a 38 year old female street vendor living in Tamil Nadu. My annual household income is 600000 rupees.,38,Female,600000.0,street vendor,Tamil Nadu,,FALSE
T0079,"Main Bihar se ek artisan hu, meri umar 42 saal hai aur saalana kamai 200000 rupe hai.",42,,200000.0,artisan,Bihar,,FALSE
T0080,"Namaste, main 50 varsh ka berojgar hu Rajasthan se. Meri income 45000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",50,,45000.0,berojgar,Rajasthan,SC,TRUE
T0081,"Mera naam Ramesh hai, main Rajasthan ka rehne wala hu. Main ST category se ek mahila hu aur labour hu. Aamdani 350000 per year hai.",42,Female,350000.0,labour,Rajasthan,ST,FALSE
T0082,"Hi, I am 38 years old student from Tamil Nadu. My family income is 200000 and I am differently abled.",38,,200000.0,daily wage worker,Tamil Nadu,,TRUE
T0083,"Namaste, main 31 varsh ka street vendor hu Karnataka se. Meri income 0 rupaye hai, aur main OBC varg se hoon. Main divyang hu.",31,,0.0,street vendor,Karnataka,OBC,TRUE
T0084,"I belong to OBC category from Maharashtra. Age is 24, profession is unemployed, income around 200000.",24,,200000.0,unemployed,Maharashtra,OBC,FALSE
T0085,"Hi, I am 25 years old student from West Bengal. My family income is 0 and I am differently abled.",25,,0.0,student,West Bengal,,TRUE
T0086,"Hi, I am 43 years old student from Madhya Pradesh. My family income is 350000 and I am differently abled.",43,,350000.0,unemployed,Madhya Pradesh,,TRUE
T0087,"I belong to OBC category from Tamil Nadu. Age is 33, profession is artisan, income around 0.",33,,0.0,artisan,Tamil Nadu,OBC,FALSE
T0088,"Main Uttar Pradesh se ek rehri wala hu, meri umar 39 saal hai aur saalana kamai 120000 rupe hai.",39,,120000.0,rehri wala,Uttar Pradesh,,FALSE
T0089,"Hi, I am 65 years old student from Uttar Pradesh. My family income is 600000 and I am differently abled.",65,,600000.0,bunkar,Uttar Pradesh,,TRUE
T0090,"Hi, I am 60 years old student from West Bengal. My family income is 600000 and I am differently abled.",60,,600000.0,rehri wala,West Bengal,,TRUE
T0091,"I belong to General category from Uttar Pradesh. Age is 36, profession is mazdoor, income around 80000.",36,,80000.0,mazdoor,Uttar Pradesh,General,FALSE
T0092,"Main Madhya Pradesh se ek artisan hu, meri umar 55 saal hai aur saalana kamai 0 rupe hai.",55,,0.0,artisan,Madhya Pradesh,,FALSE
T0093,"Hi, I am 26 years old student from Madhya Pradesh. My family income is 45000 and I am differently abled.",26,,45000.0,unemployed,Madhya Pradesh,,TRUE
T0094,I am a 56 year old female daily wage worker living in Maharashtra. My annual household income is 200000 rupees.,56,Female,200000.0,daily wage worker,Maharashtra,,FALSE
T0095,"Mera naam Ramesh hai, main Uttar Pradesh ka rehne wala hu. Main ST category se ek mahila hu aur unemployed hu. Aamdani 45000 per year hai.",56,Female,45000.0,unemployed,Uttar Pradesh,ST,FALSE
T0096,"Mera naam Ramesh hai, main Uttar Pradesh ka rehne wala hu. Main OBC category se ek mahila hu aur unemployed hu. Aamdani 600000 per year hai.",18,Female,600000.0,unemployed,Uttar Pradesh,OBC,FALSE
T0097,"Mera naam Ramesh hai, main Tamil Nadu ka rehne wala hu. Main OBC category se ek mahila hu aur farmer hu. Aamdani 80000 per year hai.",45,Female,80000.0,farmer,Tamil Nadu,OBC,FALSE
T0098,"Namaste, main 36 varsh ka berojgar hu West Bengal se. Meri income 0 rupaye hai, aur main SC varg se hoon. Main divyang hu.",36,,0.0,berojgar,West Bengal,SC,TRUE
T0099,I am a 54 year old male artisan living in Maharashtra. My annual household income is 120000 rupees.,54,Male,120000.0,artisan,Maharashtra,,FALSE
T0100,I am a 55 year old male bunkar living in Madhya Pradesh. My annual household income is 120000 rupees.,55,Male,120000.0,bunkar,Madhya Pradesh,,FALSE
T0101,I am a 40 year old male rehri wala living in Rajasthan. My annual household income is 80000 rupees.,40,Male,80000.0,rehri wala,Rajasthan,,FALSE
T0102,"I belong to OBC category from Rajasthan. Age is 28, profession is berojgar, income around 80000.",28,,80000.0,berojgar,Rajasthan,OBC,FALSE
T0103,"Hi, I am 18 years old student from Rajasthan. My family income is 120000 and I am differently abled.",18,,120000.0,rehri wala,Rajasthan,,TRUE
T0104,I am a 62 year old female chhatra living in West Bengal. My annual household income is 200000 rupees.,62,Female,200000.0,chhatra,West Bengal,,FALSE
T0105,I am a 48 year old female mazdoor living in Bihar. My annual household income is 80000 rupees.,48,Female,80000.0,mazdoor,Bihar,,FALSE
T0106,"Namaste, main 25 varsh ka unemployed hu Bihar se. Meri income 600000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",25,,600000.0,unemployed,Bihar,SC,TRUE
T0107,"I belong to General category from Bihar. Age is 34, profession is student, income around 350000.",34,,350000.0,student,Bihar,General,FALSE
T0108,"Hi, I am 54 years old student from Bihar. My family income is 45000 and I am differently abled.",54,,45000.0,farmer,Bihar,,TRUE
T0109,"Namaste, main 46 varsh ka berojgar hu Rajasthan se. Meri income 0 rupaye hai, aur main ST varg se hoon. Main divyang hu.",46,,0.0,berojgar,Rajasthan,ST,TRUE
T0110,"Hi, I am 63 years old student from Maharashtra. My family income is 80000 and I am differently abled.",63,,80000.0,daily wage worker,Maharashtra,,TRUE
T0111,"Hi, I am 35 years old student from Maharashtra. My family income is 120000 and I am differently abled.",35,,120000.0,farmer,Maharashtra,,TRUE
T0112,"Hi, I am 45 years old student from Karnataka. My family income is 120000 and I am differently abled.",45,,120000.0,farmer,Karnataka,,TRUE
T0113,"Main West Bengal se ek street vendor hu, meri umar 33 saal hai aur saalana kamai 120000 rupe hai.",33,,120000.0,street vendor,West Bengal,,FALSE
T0114,I am a 42 year old female chhatra living in Bihar. My annual household income is 600000 rupees.,42,Female,600000.0,chhatra,Bihar,,FALSE
T0115,"Hi, I am 64 years old student from Madhya Pradesh. My family income is 0 and I am differently abled.",64,,0.0,unemployed,Madhya Pradesh,,TRUE
T0116,"Namaste, main 60 varsh ka chhatra hu Rajasthan se. Meri income 350000 rupaye hai, aur main ST varg se hoon. Main divyang hu.",60,,350000.0,chhatra,Rajasthan,ST,TRUE
T0117,"Namaste, main 50 varsh ka farmer hu Tamil Nadu se. Meri income 350000 rupaye hai, aur main ST varg se hoon. Main divyang hu.",50,,350000.0,farmer,Tamil Nadu,ST,TRUE
T0118,"Namaste, main 54 varsh ka unemployed hu West Bengal se. Meri income 120000 rupaye hai, aur main OBC varg se hoon. Main divyang hu.",54,,120000.0,unemployed,West Bengal,OBC,TRUE
T0119,"Main Tamil Nadu se ek chhatra hu, meri umar 47 saal hai aur saalana kamai 200000 rupe hai.",47,,200000.0,chhatra,Tamil Nadu,,FALSE
T0120,"Mera naam Ramesh hai, main Karnataka ka rehne wala hu. Main ST category se ek purush hu aur mazdoor hu. Aamdani 600000 per year hai.",65,Male,600000.0,mazdoor,Karnataka,ST,FALSE
T0121,"I belong to OBC category from Karnataka. Age is 25, profession is bunkar, income around 600000.",25,,600000.0,bunkar,Karnataka,OBC,FALSE
T0122,"I belong to OBC category from Madhya Pradesh. Age is 64, profession is labour, income around 600000.",64,,600000.0,labour,Madhya Pradesh,OBC,FALSE
T0123,"Hi, I am 47 years old student from Karnataka. My family income is 600000 and I am differently abled.",47,,600000.0,mazdoor,Karnataka,,TRUE
T0124,"Main Karnataka se ek daily wage worker hu, meri umar 40 saal hai aur saalana kamai 0 rupe hai.",40,,0.0,daily wage worker,Karnataka,,FALSE
T0125,"I belong to General category from Maharashtra. Age is 31, profession is chhatra, income around 120000.",31,,120000.0,chhatra,Maharashtra,General,FALSE
T0126,I am a 65 year old female unemployed living in West Bengal. My annual household income is 600000 rupees.,65,Female,600000.0,unemployed,West Bengal,,FALSE
T0127,"Hi, I am 50 years old student from Bihar. My family income is 200000 and I am differently abled.",50,,200000.0,student,Bihar,,TRUE
T0128,"Mera naam Ramesh hai, main Uttar Pradesh ka rehne wala hu. Main ST category se ek mahila hu aur kisan hu. Aamdani 120000 per year hai.",32,Female,120000.0,kisan,Uttar Pradesh,ST,FALSE
T0129,"I belong to General category from Maharashtra. Age is 59, profession is daily wage worker, income around 120000.",59,,120000.0,daily wage worker,Maharashtra,General,FALSE
T0130,"Mera naam Ramesh hai, main Rajasthan ka rehne wala hu. Main ST category se ek purush hu aur weaver hu. Aamdani 0 per year hai.",42,Male,0.0,weaver,Rajasthan,ST,FALSE
T0131,"Mera naam Ramesh hai, main Bihar ka rehne wala hu. Main ST category se ek mahila hu aur rehri wala hu. Aamdani 350000 per year hai.",42,Female,350000.0,rehri wala,Bihar,ST,FALSE
T0132,"Namaste, main 29 varsh ka berojgar hu Uttar Pradesh se. Meri income 200000 rupaye hai, aur main OBC varg se hoon. Main divyang hu.",29,,200000.0,berojgar,Uttar Pradesh,OBC,TRUE
T0133,"Mera naam Ramesh hai, main Bihar ka rehne wala hu. Main ST category se ek mahila hu aur bunkar hu. Aamdani 600000 per year hai.",45,Female,600000.0,bunkar,Bihar,ST,FALSE
T0134,I am a 62 year old female artisan living in Tamil Nadu. My annual household income is 45000 rupees.,62,Female,45000.0,artisan,Tamil Nadu,,FALSE
T0135,I am a 61 year old female unemployed living in Karnataka. My annual household income is 45000 rupees.,61,Female,45000.0,unemployed,Karnataka,,FALSE
T0136,"Mera naam Ramesh hai, main Madhya Pradesh ka rehne wala hu. Main OBC category se ek mahila hu aur labour hu. Aamdani 200000 per year hai.",60,Female,200000.0,labour,Madhya Pradesh,OBC,FALSE
T0137,"Hi, I am 26 years old student from Madhya Pradesh. My family income is 80000 and I am differently abled.",26,,80000.0,street vendor,Madhya Pradesh,,TRUE
T0138,"Main Karnataka se ek bunkar hu, meri umar 31 saal hai aur saalana kamai 0 rupe hai.",31,,0.0,bunkar,Karnataka,,FALSE
T0139,"I belong to SC category from Madhya Pradesh. Age is 25, profession is weaver, income around 600000.",25,,600000.0,weaver,Madhya Pradesh,SC,FALSE
T0140,"I belong to General category from Maharashtra. Age is 49, profession is labour, income around 45000.",49,,45000.0,labour,Maharashtra,General,FALSE
T0141,"Mera naam Ramesh hai, main Madhya Pradesh ka rehne wala hu. Main General category se ek purush hu aur weaver hu. Aamdani 0 per year hai.",32,Male,0.0,weaver,Madhya Pradesh,General,FALSE
T0142,"I belong to General category from Maharashtra. Age is 45, profession is kisan, income around 350000.",45,,350000.0,kisan,Maharashtra,General,FALSE
T0143,"Namaste, main 64 varsh ka berojgar hu Karnataka se. Meri income 45000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",64,,45000.0,berojgar,Karnataka,SC,TRUE
T0144,"Namaste, main 44 varsh ka bunkar hu Maharashtra se. Meri income 45000 rupaye hai, aur main General varg se hoon. Main divyang hu.",44,,45000.0,bunkar,Maharashtra,General,TRUE
T0145,"Main Tamil Nadu se ek bunkar hu, meri umar 23 saal hai aur saalana kamai 45000 rupe hai.",23,,45000.0,bunkar,Tamil Nadu,,FALSE
T0146,"Hi, I am 40 years old student from Bihar. My family income is 0 and I am differently abled.",40,,0.0,kisan,Bihar,,TRUE
T0147,"Namaste, main 58 varsh ka unemployed hu Rajasthan se. Meri income 45000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",58,,45000.0,unemployed,Rajasthan,SC,TRUE
T0148,"Mera naam Ramesh hai, main Uttar Pradesh ka rehne wala hu. Main OBC category se ek purush hu aur labour hu. Aamdani 0 per year hai.",23,Male,0.0,labour,Uttar Pradesh,OBC,FALSE
T0149,"Hi, I am 29 years old student from Rajasthan. My family income is 0 and I am differently abled.",29,,0.0,labour,Rajasthan,,TRUE
T0150,"Hi, I am 36 years old student from Madhya Pradesh. My family income is 0 and I am differently abled.",36,,0.0,street vendor,Madhya Pradesh,,TRUE
T0151,I am a 30 year old female weaver living in Tamil Nadu. My annual household income is 0 rupees.,30,Female,0.0,weaver,Tamil Nadu,,FALSE
T0152,"Namaste, main 47 varsh ka farmer hu Madhya Pradesh se. Meri income 45000 rupaye hai, aur main General varg se hoon. Main divyang hu.",47,,45000.0,farmer,Madhya Pradesh,General,TRUE
T0153,"Mera naam Ramesh hai, main Uttar Pradesh ka rehne wala hu. Main General category se ek mahila hu aur artisan hu. Aamdani 350000 per year hai.",34,Female,350000.0,artisan,Uttar Pradesh,General,FALSE
T0154,"I belong to OBC category from Rajasthan. Age is 38, profession is chhatra, income around 80000.",38,,80000.0,chhatra,Rajasthan,OBC,FALSE
T0155,"Mera naam Ramesh hai, main Bihar ka rehne wala hu. Main SC category se ek mahila hu aur kisan hu. Aamdani 600000 per year hai.",34,Female,600000.0,kisan,Bihar,SC,FALSE
T0156,I am a 23 year old male chhatra living in Karnataka. My annual household income is 80000 rupees.,23,Male,80000.0,chhatra,Karnataka,,FALSE
T0157,"I belong to OBC category from Karnataka. Age is 20, profession is bunkar, income around 350000.",20,,350000.0,bunkar,Karnataka,OBC,FALSE
T0158,"Namaste, main 50 varsh ka mazdoor hu Bihar se. Meri income 80000 rupaye hai, aur main SC varg se hoon. Main divyang hu.",50,,80000.0,mazdoor,Bihar,SC,TRUE
T0159,"I belong to OBC category from Madhya Pradesh. Age is 64, profession is daily wage worker, income around 80000.",64,,80000.0,daily wage worker,Madhya Pradesh,OBC,FALSE
T0160,I am a 18 year old male chhatra living in Rajasthan. My annual household income is 0 rupees.,18,Male,0.0,chhatra,Rajasthan,,FALSE
T0161,"Hi, I am 58 years old student from Maharashtra. My family income is 600000 and I am differently abled.",58,,600000.0,kisan,Maharashtra,,TRUE
T0162,"I belong to SC category from Maharashtra. Age is 46, profession is student, income around 600000.",46,,600000.0,student,Maharashtra,SC,FALSE
T0163,"Mera naam Ramesh hai, main Karnataka ka rehne wala hu. Main ST category se ek purush hu aur chhatra hu. Aamdani 120000 per year hai.",22,Male,120000.0,chhatra,Karnataka,ST,FALSE
T0164,"Mera naam Ramesh hai, main Karnataka ka rehne wala hu. Main ST category se ek purush hu aur unemployed hu. Aamdani 45000 per year hai.",23,Male,45000.0,unemployed,Karnataka,ST,FALSE
T0165,"Namaste, main 27 varsh ka rehri wala hu Bihar se. Meri income 600000 rupaye hai, aur main OBC varg se hoon. Main divyang hu.",27,,600000.0,rehri wala,Bihar,OBC,TRUE
T0166,"Hi, I am 65 years old student from Uttar Pradesh. My family income is 350000 and I am differently abled.",65,,350000.0,bunkar,Uttar Pradesh,,TRUE
T0167,I am a 21 year old male labour living in Bihar. My annual household income is 120000 rupees.,21,Male,120000.0,labour,Bihar,,FALSE
T0168,"Namaste, main 54 varsh ka street vendor hu Madhya Pradesh se. Meri income 600000 rupaye hai, aur main General varg se hoon. Main divyang hu.",54,,600000.0,street vendor,Madhya Pradesh,General,TRUE
T0169,"Mera naam Ramesh hai, main Tamil Nadu ka rehne wala hu. Main SC category se ek mahila hu aur student hu. Aamdani 45000 per year hai.",37,Female,45000.0,student,Tamil Nadu,SC,FALSE
T0170,"Main Maharashtra se ek berojgar hu, meri umar 24 saal hai aur saalana kamai 200000 rupe hai.",24,,200000.0,berojgar,Maharashtra,,FALSE
T0171,"Hi, I am 46 years old student from Uttar Pradesh. My family income is 0 and I am differently abled.",46,,0.0,labour,Uttar Pradesh,,TRUE
T0172,"Namaste, main 44 varsh ka rehri wala hu Maharashtra se. Meri income 200000 rupaye hai, aur main ST varg se hoon. Main divyang hu.",44,,200000.0,rehri wala,Maharashtra,ST,TRUE
T0173,"Mera naam Ramesh hai, main West Bengal ka rehne wala hu. Main General category se ek mahila hu aur chhatra hu. Aamdani 0 per year hai.",24,Female,0.0,chhatra,West Bengal,General,FALSE
T0174,I am a 29 year old male labour living in West Bengal. My annual household income is 200000 rupees.,29,Male,200000.0,labour,West Bengal,,FALSE
